geometryid,geometryacreage,imageid,imagepath,imagedate
3zb7TNOXpJhQjWlBTUN6TW,69961,291946,UK02_SL6_22S_1T_20190619T134305_20190619T134355_DMC_0_20190619_UTM14_GS2,2019-06-19T13:43:30.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,281349,L8_027030_20190613_UTM15_GS2,2019-06-13T16:59:14.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,281197,S2A_T15TUJ_20190612_173136_UTM15_GS2,2019-06-12T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,281176,S2A_T15TUK_20190612_173123_UTM15_GS2,2019-06-12T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,282094,DE009F8B_015500_039600_P_20190609_UTM14_GS2,2019-06-09T15:40:34.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,283582,DE009F80_000000_015850_S_20190608_UTM15_GS2,2019-06-08T15:12:54.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,277470,S2A_T15TUK_20190602_173123_UTM15_GS2,2019-06-02T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,277446,S2A_T15TUJ_20190602_173135_UTM15_GS2,2019-06-02T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,274592,DE009F03P_20190526_UTM15_GS2,2019-05-26T15:34:09.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,285040,UK02_SL6_22S_1T_20190526T132858_20190526T132948_DMC_0_20190526_UTM15_GS2,2019-05-26T13:29:23.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,271288,DE009EB2_021000_034000_P_20190516_UTM14_GS2,2019-05-16T15:42:03.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,270467,UK02_SL6_22S_1T_20190510T135059_20190510T135149_DMC_0_20190510_UTM15_GS2,2019-05-10T13:51:24.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,264483,S2A_T15TUK_20190503_173124_UTM15_GS2,2019-05-03T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,264474,S2A_T15TUJ_20190503_173137_UTM15_GS2,2019-05-03T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,264458,L8_028030_20190503_UTM15_GS2,2019-05-03T17:05:02.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,262556,L8_027030_20190426_UTM15_GS2,2019-04-26T16:58:48.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,270605,UK02_SL6_22S_1T_20190426T133358_20190426T133448_DMC_0_20190426_UTM15_GS2,2019-04-26T13:34:23.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,268974,DE009DE6P_20190425_UTM15_GS2,2019-04-25T15:30:17.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,270627,UK02_SL6_22S_1T_20190420T135411_20190420T135501_DMC_0_20190420_UTM14_GS2,2019-04-20T13:54:36.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,232399,L8_028030_20181124_UTM15_GS2,2018-11-24T17:05:31.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,227192,L8_027030_20181101_UTM15_GS2,2018-11-01T16:59:20.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,225917,S2B_T15TUJ_20181027_172127_UTM15_GS2,2018-10-27T17:14:19.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,224757,L8_028030_20181023_UTM15_GS2,2018-10-23T17:05:29.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,221496,L8_027030_20181016_UTM15_GS2,2018-10-16T16:59:16.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,204250,UK02_SL6_22S_1T_20180829T141218_20180829T141309_DMC_0_20180829_UTM15_GS2,2018-08-29T14:12:43.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,203227,DE009798P_20180825_UTM15_GS2,2018-08-25T15:52:14.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,202145,UK02_SL6_22P_1T_20180823T143222_20180823T143312_DMC_0_20180823_UTM15_GS2,2018-08-23T14:32:47.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,200310,DE009759S_20180818_UTM15_GS2,2018-08-18T15:48:38.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,199225,UK02_SL6_22S_1T_20180816T142335_20180816T142425_DMC_0_20180816_UTM14_GS2,2018-08-16T14:24:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,360146,DE009734_000000_013450_S_20180814_UTM15_GS2,2018-08-14T15:33:11.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,197619,L8_027030_20180813_UTM15_GS2,2018-08-13T16:58:50.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,197530,DE00971C_000000_014650_P_20180811_UTM15_GS2,2018-08-11T15:45:22.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,185525,S2A_T15TUK_20180717_172859_UTM15_GS2,2018-07-17T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,185993,UK02_SL6_22P_1T_20180717T142746_20180717T142836_DMC_0_20180717_UTM15_GS2,2018-07-17T14:28:11.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,183054,L8_027030_20180712_UTM15_GS2,2018-07-12T16:58:34.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,178491,L8_028030_20180703_UTM15_GS2,2018-07-03T17:04:40.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,178355,DE00955F_028500_043200_S_20180701_UTM15_GS2,2018-07-01T15:49:41.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,177914,DE009535_017750_036000_P_20180628_UTM14_GS2,2018-06-28T16:02:13.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,172837,U2FF8EF0_015000_030499_S_20180613_UTM15_GS2,2018-06-13T14:14:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,169288,DE00942A_019550_039600_P_20180607_UTM15_GS2,2018-06-07T15:50:16.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,166472,L8_028030_20180601_UTM15_GS2,2018-06-01T17:04:23.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,164272,S2A_T15TUK_20180528_172509_UTM15_GS2,2018-05-28T17:19:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,165045,UK02_SL6_22S_1T_20180528T143433_20180528T143523_DMC_0_20180528_UTM15_GS2,2018-05-28T14:34:58.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,358809,DE009393S_20180521_UTM14_GS2,2018-05-21T20:55:05.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,360086,DE009393S_20180521_UTM14_GS2,2018-05-21T15:55:05.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,161404,S2B_T15TUK_20180520_170921_UTM15_GS2,2018-05-20T17:08:49.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,161260,DE00936E_018500_037800_S_20180517_UTM15_GS2,2018-05-17T15:38:28.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,165023,L8_028030_20180516_UTM15_GS2,2018-05-16T17:04:35.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,154752,U2FF8D9E_030000_045499_S_20180428_UTM15_GS2,2018-04-28T14:39:13.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,154751,U2FF8D9E_030000_045499_P_20180428_UTM15_GS2,2018-04-28T14:39:13.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,154436,DE0092A1_011500_025500_P_20180427_UTM15_GS2,2018-04-27T15:54:24.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,152964,L8_027030_20180423_UTM15_GS2,2018-04-23T16:58:39.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,149128,L8_028030_20180329_UTM15_GS2,2018-03-29T17:05:04.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,148013,L8_027030_20180322_UTM15_GS2,2018-03-22T16:58:56.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,146399,L8_028030_20180313_UTM15_GS2,2018-03-13T17:05:10.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,134722,L8_027030_20171130_UTM15_GS2,2017-11-30T16:59:33.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,133067,L8_028030_20171121_UTM15_GS2,2017-11-21T17:05:48.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,128451,S2B_T15TUJ_20171025_053059_UTM15_GS2,2017-10-25T17:30:59.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,127854,L8_028030_20171020_UTM15_GS2,2017-10-20T17:05:54.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,126561,L8_027030_20171013_UTM15_GS2,2017-10-13T16:59:42.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,124697,L8_028030_20171004_UTM15_GS2,2017-10-04T17:05:51.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,123899,L8_027030_20170927_UTM15_GS2,2017-09-27T16:59:38.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,120169,L8_027030_20170911_UTM15_GS2,2017-09-11T16:59:31.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,118554,DE008C6C_000000_016450_P_20170831_UTM14_GS2,2017-08-31T16:19:05.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,116581,L8_028030_20170817_UTM15_GS2,2017-08-17T17:05:39.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,115006,DE008BAFS_20170813_UTM15_GS2,2017-08-13T15:54:07.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,114882,UK02_SL6_22S_1T_20170811T150644_20170811T150734_DMC_0_20170811_UTM14_GS2,2017-08-11T15:07:09.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,114545,L8_027030_20170810_UTM15_GS2,2017-08-10T16:59:26.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,114741,DE008B8FS_20170810_UTM15_GS2,2017-08-10T16:06:52.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,113839,UK02_SL6_22S_1T_20170804T145701_20170804T145751_DMC_0_20170804_UTM15_GS2,2017-08-04T14:57:26.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,110914,L8_027030_20170725_UTM15_GS2,2017-07-25T16:59:20.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,110014,UK02_SL6_22P_1T_20170719T151736_20170719T151826_DMC_0_20170719_UTM13_GS2,2017-07-19T15:18:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,109392,DE008A8D_011750_024250_S_20170717_UTM14_GS2,2017-07-17T16:05:28.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,109334,DE008A8D_011750_024250_P_20170717_UTM15_GS2,2017-07-17T16:05:28.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,109183,L8_028030_20170716_UTM15_GS2,2017-07-16T17:05:26.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,108174,DE008A22P_20170707_UTM15_GS2,2017-07-07T16:11:55.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,107494,UK02_SL6_22P_1T_20170702T150935_20170702T151025_DMC_0_20170702_UTM15_GS2,2017-07-02T15:10:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,107156,L8_028030_20170630_UTM15_GS2,2017-06-30T17:05:22.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,106599,UK02_SL6_22P_1T_20170626T152918_20170626T153008_DMC_0_20170626_UTM14_GS2,2017-06-26T15:29:43.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,106125,DE008986P_20170623_UTM15_GS2,2017-06-23T16:04:17.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,104319,L8_028030_20170614_UTM15_GS2,2017-06-14T12:05:18.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,134484,UK02_SL6_22P_1T_20170612T151113_20170612T151203_DMC_0_20170612_UTM15_GS2,2017-06-12T15:11:38.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,101943,L8_027030_20170607_UTM15_GS2,2017-06-07T11:59:04.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,101561,DE0088C3_027250_041400_S_20170606_UTM14_GS2,2017-06-06T16:07:07.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,100664,DE008893S_20170602_UTM15_GS2,2017-06-02T15:51:15.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,101195,S2A_T15TUK_20170602_052301_UTM15_GS2,2017-06-02T12:23:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,98573,L8_027030_20170522_UTM15_GS2,2017-05-22T11:58:56.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,96404,S2A_T15TUJ_20170513_052301_UTM15_GS2,2017-05-13T12:23:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,96214,S2A_T15TUK_20170513_052301_UTM15_GS2,2017-05-13T12:23:01.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,99800,L8_028030_20170513_UTM15_GS2,2017-05-13T12:05:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,95069,L8_027030_20170506_UTM15_GS2,2017-05-06T11:58:44.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91679,L8_028030_20170411_UTM15_GS2,2017-04-11T12:05:05.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,90996,L8_027030_20170404_UTM15_GS2,2017-04-04T11:58:58.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,78854,L8_027030_20161111_UTM15_GS2,2016-11-11T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,74705,L8_027030_20161010_UTM15_GS2,2016-10-10T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,74882,S2A_T15TUJ_20161005_052403_UTM15_GS2,2016-10-05T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76152,L8_027030_20160924_UTM15_GS2_FP3_OM_YPM,2016-09-24T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,71982,L8_027030_20160924_UTM15_GS2,2016-09-24T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,71940,S2A_T15TUJ_20160922_051709_UTM15_GS2,2016-09-22T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92042,L8_027030_20160823_UTM15_GS2,2016-08-23T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76151,L8_027030_20160823_UTM15_GS2_FP3_OM_YPM,2016-08-23T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76214,UK02_SL6_22P_1T_20160817T155301_20160817T155351_DMC_0_20160817_UTM15_GS2_FP3_OM_YPM,2016-08-17T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,66526,UK02_SL6_22P_1T_20160817T155301_20160817T155351_DMC_0_20160817_UTM15_GS2,2016-08-17T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92607,S2A_T15TUK_20160816_053111_UTM15_GS2,2016-08-16T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92030,L8_028030_20160814_UTM15_GS2,2016-08-14T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76156,L8_028030_20160814_UTM15_GS2_FP3_OM_YPM,2016-08-14T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,95242,UK02_SL6_22P_1T_20160807T155343_20160807T155433_DMC_0_20160807_UTM14_GS2,2016-08-07T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76306,UK02_SL6_22P_1T_20160807T155343_20160807T155433_DMC_0_20160807_UTM14_GS2_FP3_OM_YPM,2016-08-07T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,95244,UK02_SL6_22S_1T_20160806T152355_20160806T152445_DMC_0_20160806_UTM15_GS2,2016-08-06T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76349,UK02_SL6_22S_1T_20160806T152355_20160806T152445_DMC_0_20160806_UTM15_GS2_FP3_OM_YPM,2016-08-06T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,76144,DE007C9BP_20160806_UTM15_GS2_FP3_OM_YPM,2016-08-06T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,63630,DE007C9BP_20160806_UTM15_GS2,2016-08-06T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92009,L8_028030_20160729_UTM15_GS2,2016-07-29T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92001,L8_027030_20160722_UTM15_GS2,2016-07-22T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91986,L8_027030_20160706_UTM15_GS2,2016-07-06T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94702,DE007B0D_017930_036360_S_20160703_UTM14_GS2,2016-07-03T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,65443,DE007B0D_017930_036360_S_20160703_UTM14_GS2_FP3_OM_YPM,2016-07-03T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,65857,UK02_SL6_22S_1T_20160627T152428_20160627T152518_DMC_0_20160627_UTM15_GS2_FP3_OM_YPM,2016-06-27T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,56284,UK02_SL6_22S_1T_20160627T152428_20160627T152518_DMC_0_20160627_UTM15_GS2,2016-06-27T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94695,DE007A93S_20160622_UTM15_GS2,2016-06-22T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93259,S2A_T15TUJ_20160617_053110_UTM15_GS2,2016-06-17T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92406,S2A_T15TUK_20160617_053110_UTM15_GS2,2016-06-17T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,65191,DE007A5B_016850_034200_S_20160616_UTM14_GS2_FP3_OM_YPM,2016-06-16T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,53243,DE007A5B_016850_034200_S_20160616_UTM14_GS2,2016-06-16T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91973,L8_028030_20160611_UTM15_GS2,2016-06-11T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91963,L8_027030_20160604_UTM15_GS2,2016-06-04T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,69040,UK02_SL6_22S_1T_20160601T154341_20160601T154431_DMC_0_20160601_UTM14_GS2,2016-06-01T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,51806,UK02_SL6_22P_1T_20160529T155323_20160529T155413_DMC_0_20160529_UTM15_GS2,2016-05-29T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91957,L8_028030_20160526_UTM15_GS2,2016-05-26T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91954,L8_027030_20160519_UTM15_GS2,2016-05-19T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,92329,S2A_T15TUJ_20160518_UTM15_GS2,2016-05-18T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91942,L8_027030_20160503_UTM15_GS2,2016-05-03T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91940,L8_028030_20160424_UTM15_GS2,2016-04-24T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,49008,DE00781B_020500_041400_P_20160423_UTM14_GS2,2016-04-23T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,49061,DE0077F5S_20160419_UTM15_GS2,2016-04-19T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,91937,L8_028030_20160408_UTM15_GS2,2016-04-08T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,81463,L8_027030_20160401_UTM15_GS2,2016-04-01T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,81464,L8_027030_20160316_UTM15_GS2,2016-03-16T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,81462,L8_027030_20151109_UTM15_GS2,2015-11-09T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,44623,L8_028030_20151015_UTM15_GS2,2015-10-15T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,44337,L8_028030_20150929_UTM15_GS2,2015-09-29T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,24219,L8_028030_20150913_UTM15_GS2,2015-09-13T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93924,DE006EF1P_20150829_UTM14_GS2,2015-08-29T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93194,L8_027030_20150821_UTM15_GS2,2015-08-21T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,23307,UK02_SL6_22P_1T_20150821T161350_20150821T161440_DMC_0_20150821_UTM14_GS2,2015-08-21T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93178,L8_028030_20150812_UTM15_GS2,2015-08-12T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,24658,L8_028030_20150812_UTM15_GS2_3B,2015-08-12T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93147,L8_028030_20150727_UTM15_GS2,2015-07-27T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,26718,UK02_SL6_22S_1T_20150725T155929_20150725T160019_DMC_0_20150725_UTM15_GS2,2015-07-25T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,26691,UK02_SL6_22P_1T_20150725T160017_20150725T160107_DMC_0_20150725_UTM15_GS2,2015-07-25T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94251,DE006CC6S_20150722_UTM14_GS2,2015-07-22T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93131,L8_027030_20150720_UTM15_GS2,2015-07-20T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,24604,L8_027030_20150720_UTM15_GS2_3B,2015-07-20T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,26675,UK02_SL6_22P_1T_20150719T161803_20150719T161853_DMC_0_20150719_UTM14_GS2,2015-07-19T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,19995,DE006BC5P_20150705_UTM15_GS2,2015-07-05T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93104,L8_027030_20150704_UTM15_GS2,2015-07-04T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94248,DE006B90S_20150701_UTM15_GS2,2015-07-01T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93087,L8_028030_20150625_UTM15_GS2,2015-06-25T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94245,DE006AD9P_20150618_UTM15_GS2,2015-06-18T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93055,L8_028030_20150609_UTM15_GS2,2015-06-09T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,94241,DE0069E6S_20150601_UTM15_GS2,2015-06-01T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,17745,UK02_SL6_22P_1T_20150530T161051_20150530T161141_DMC_0_20150530_UTM15_GS2,2015-05-30T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,17226,UK02_SL6_22P_1T_20150520T160903_20150520T160953_DMC_0_20150520_UTM15_GS2,2015-05-20T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93894,UK02_SL6_22S_1T_20150513T155718_20150513T155808_DMC_0_20150513_UTM15_GS2,2015-05-13T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,93000,L8_028030_20150422_UTM15_GS2,2015-04-22T00:00:00.000000
3zb7TNOXpJhQjWlBTUN6TW,69961,43471,L8_028030_20150321_UTM15_GS2,2015-03-21T00:00:00.000000
